Device: NVIDIA B200 | SMs=148 | SM clock~1.97 GHz | CC 10.0
Pilot semantics=2 tag=interval_d1_s101 structure=interval degree=1 effective_degree=1.00 tightness=1.0000 grid=148 ready=400000 tail=1000000 prologue=200000 epilogue=1000000 skew_bins=8 repeats=31 producer_occ=16 consumer_occ=10
mode                    median_ms       min_ms      valid
SAMPLE tag=interval_d1_s101 mode=none rep=0 ms=0.897408
SAMPLE tag=interval_d1_s101 mode=none rep=1 ms=0.898592
SAMPLE tag=interval_d1_s101 mode=none rep=2 ms=0.898432
SAMPLE tag=interval_d1_s101 mode=none rep=3 ms=0.899072
SAMPLE tag=interval_d1_s101 mode=none rep=4 ms=0.898624
SAMPLE tag=interval_d1_s101 mode=none rep=5 ms=0.898976
SAMPLE tag=interval_d1_s101 mode=none rep=6 ms=0.899040
SAMPLE tag=interval_d1_s101 mode=none rep=7 ms=0.898944
SAMPLE tag=interval_d1_s101 mode=none rep=8 ms=0.898880
SAMPLE tag=interval_d1_s101 mode=none rep=9 ms=0.897664
SAMPLE tag=interval_d1_s101 mode=none rep=10 ms=0.897856
SAMPLE tag=interval_d1_s101 mode=none rep=11 ms=0.897408
SAMPLE tag=interval_d1_s101 mode=none rep=12 ms=0.897568
SAMPLE tag=interval_d1_s101 mode=none rep=13 ms=0.898016
SAMPLE tag=interval_d1_s101 mode=none rep=14 ms=0.897664
SAMPLE tag=interval_d1_s101 mode=none rep=15 ms=0.897504
SAMPLE tag=interval_d1_s101 mode=none rep=16 ms=0.897664
SAMPLE tag=interval_d1_s101 mode=none rep=17 ms=0.899424
SAMPLE tag=interval_d1_s101 mode=none rep=18 ms=0.898400
SAMPLE tag=interval_d1_s101 mode=none rep=19 ms=0.898784
SAMPLE tag=interval_d1_s101 mode=none rep=20 ms=0.899584
SAMPLE tag=interval_d1_s101 mode=none rep=21 ms=0.898304
SAMPLE tag=interval_d1_s101 mode=none rep=22 ms=0.898112
SAMPLE tag=interval_d1_s101 mode=none rep=23 ms=0.897536
SAMPLE tag=interval_d1_s101 mode=none rep=24 ms=0.899616
SAMPLE tag=interval_d1_s101 mode=none rep=25 ms=0.897920
SAMPLE tag=interval_d1_s101 mode=none rep=26 ms=0.898048
SAMPLE tag=interval_d1_s101 mode=none rep=27 ms=0.897824
SAMPLE tag=interval_d1_s101 mode=none rep=28 ms=0.899648
SAMPLE tag=interval_d1_s101 mode=none rep=29 ms=0.899488
