tag,base_tag,seed,structure,degree,effective_degree,tightness,producers,consumers,tail_cycles,repeats,valid,floor_ms,ceiling_ms,impl_ms,space_pct,captured_pct,of_space_pct,speedup,floor_ms_ci_low,floor_ms_ci_high,ceiling_ms_ci_low,ceiling_ms_ci_high,impl_ms_ci_low,impl_ms_ci_high,space_pct_ci_low,space_pct_ci_high,captured_pct_ci_low,captured_pct_ci_high,of_space_pct_ci_low,of_space_pct_ci_high,speedup_ci_low,speedup_ci_high
grid64_d8_s101,grid64_d8,101,interval,8,8.0,1.0,64,64,1000000,31,1,1.408544,0.897472,0.901952,36.28370856714451,35.96564963536816,99.12341118276879,1.561661817923792,1.408192,1.408928,0.897312,0.897664,0.901568,0.902304,36.264485344239944,36.30354790351157,35.9376420325425,36.00023397005229,99.0482154038823,99.21156373193169,1.5609790705924087,1.5625057122209687
grid64_d8_s202,grid64_d8,202,interval,8,8.0,1.0,64,64,1000000,31,1,1.4088,0.897664,0.90176,36.28165814877911,35.990914253265196,99.19864771802418,1.562278211497516,1.408192,1.409312,0.897504,0.897952,0.90128,0.902176,36.24383704814486,36.304806884493985,35.948469770295134,36.034604118889206,99.11709455228555,99.34214648204998,1.5612429498776204,1.5633452841574667
grid64_d8_s303,grid64_d8,303,interval,8,8.0,1.0,64,64,1000000,31,1,1.408544,0.897344,0.901984,36.29279596519526,35.963377785855464,99.0923317683881,1.5616064143044666,1.408416,1.4088,0.89696,0.89808,0.901408,0.902336,36.23909487459106,36.32295145278176,35.93693202471828,36.00863243980009,98.99887373294956,99.27890644594935,1.5609617703383218,1.5627107813553907
interval_d1_s101,interval_d1,101,interval,1,1.0,1.0,148,148,1000000,31,1,1.408864,0.898304,0.901152,36.23912599086923,36.03697730937834,99.44218113444062,1.563403288235503,1.408512,1.409376,0.897856,0.898784,0.900352,0.901408,36.201921984687736,36.282502554785964,36.01644856415849,36.097173345442165,99.34837092731829,99.62347034828991,1.562901679508575,1.564876003695019
interval_d1_s202,interval_d1,202,interval,1,1.0,1.0,148,148,1000000,31,1,1.409088,0.898368,0.900544,36.24471998909932,36.09029386383249,99.57393483709275,1.5647075545448084,1.4088319999999999,1.409376,0.897952,0.898848,0.900352,0.901056,36.20709239192168,36.2814777810577,36.047515217588796,36.11243557432509,99.4302886120328,99.68640240842949,1.563660901374436,1.5652498400739214
interval_d1_s303,interval_d1,303,interval,1,1.0,1.0,148,148,1000000,31,1,1.409248,0.898496,0.900768,36.2428756329617,36.081654896796024,99.5551657164338,1.5644960744609044,1.408352,1.409504,0.898176,0.898784,0.900256,0.901216,36.19095226193452,36.27140175973824,36.01145168253392,36.12668861391759,99.4176927481737,99.70536609829489,1.5627796321284,1.5655991184729678
interval_d32_s101,interval_d32,101,interval,32,32.0,1.0,148,148,1000000,31,1,1.409152,0.898112,0.908128,36.2657825415569,35.55500045417385,98.04007514088916,1.551710772049755,1.40848,1.409312,0.89776,0.898464,0.907872,0.908512,36.224014540497556,36.29118321563997,35.50380552084516,35.57674841053588,97.91627557724799,98.132492743316,1.5504790756657743,1.5522345974904836
interval_d32_s202,interval_d32,202,interval,32,32.0,1.0,148,148,1000000,31,1,1.409088,0.898944,0.907904,36.203842485352226,35.56797020484171,98.24363317024212,1.552023121387283,1.408608,1.409504,0.898016,0.8992,0.907616,0.908096,36.169101110833466,36.27117104844935,35.537434126839905,35.60368705444308,98.05284247433009,98.3378285140814,1.55128792416928,1.5528839373854182
interval_d32_s303,interval_d32,303,interval,32,32.0,1.0,148,148,1000000,31,1,1.409216,0.898368,0.908768,36.25051092238521,35.512511921522325,97.9641693811075,1.5506884045212859,1.408896,1.409568,0.897824,0.898816,0.908224,0.909152,36.21186998887046,36.2914027560217,35.47354076765841,35.55404178019982,97.82064128256515,98.11214841827874,1.5497518566752315,1.5516876893805933
interval_d64_s101,interval_d64,101,interval,64,64.0,1.0,148,148,1000000,31,1,1.409088,0.898016,0.916064,36.26970068583367,34.988872235091065,96.46859933629705,1.5381982044922624,1.408768,1.409376,0.897888,0.898816,0.915808,0.916288,36.205682618274324,36.284994210203664,34.96343070004089,35.00851595321903,96.41873278236915,96.63027108433735,1.5375964795864914,1.5386631258953842
